theta0_ref,alpha,beta,kappa,phi,Qx_ref,Qy_ref,theta1,theta2,theta3,Qx_prb,Qy_prb,theta0_prb,success,residual_norm,phi_deg,tip_error_percent,slope_error_percent
1.6122217561934515,2.594169948586282,0.0,0.0,2.0943951023931953,0.37479828827148215,0.8127069079315966,0.9292418531427771,0.5328039808222419,0.1420443503362305,0.3478758926591354,0.8279621305271121,1.6040901843012496,True,5.082735497633699e-12,120.0,3.094409801474968,0.5043705595067168
1.6331720424591547,2.6941546147590802,0.0,0.0,2.0943951023931953,0.3592070017691731,0.8172469463082013,0.946681929756204,0.5361975747454228,0.14179840816288955,0.3315757142585593,0.8322557705656071,1.6246779126645163,True,5.2023512570554215e-12,120.0,3.144444076595883,0.5201001225717963
1.654122328724858,2.8008800273508,0.0,0.0,2.0943951023931953,0.3433750981138542,0.8215872089954935,0.9645502537909546,0.5392963787209786,0.14140883198731716,0.31502660951765526,0.8363157213872843,1.6452554644992505,True,5.214611800217329e-12,120.0,3.194629685838336,0.5360464623219805
1.6750726149905615,2.9151203331312274,0.0,0.0,2.0943951023931953,0.32728892916242047,0.8257270480298851,0.9828833256274178,0.5420743165953315,0.14086550656685054,0.29821544712768105,0.8401380865073869,1.6658231487895998,True,5.076627127701962e-12,120.0,3.2449119982279226,0.5521829990047203
1.6960229012562646,3.037779736970392,0.0,0.0,2.0943951023931953,0.31093243070346227,0.8296658782512549,1.0017225212511889,0.5445017870918522,0.14015710211636936,0.28112685384391606,0.8437185173074624,1.6863814104594104,True,4.734014996514325e-12,120.0,3.2952224149127836,0.5684764509790942
1.716973187521968,3.169922471719073,0.0,0.0,2.0943951023931953,0.29428663479573447,0.8334031778443152,1.0211150396510988,0.5465449744419403,0.13927085428980618,0.26374277873895124,0.8470521050536239,1.7069308683828455,True,4.118835256854583e-12,120.0,3.3454750885076137,0.584885029778258
1.7379234737876714,3.3128117671363855,0.0,0.0,2.0943951023931953,0.2773290518017848,0.8369384889241039,1.0411150990607438,0.5481649766228748,0.1381922895528201,0.24604194418200714,0.8501332434200307,1.7274723652364385,True,3.1561964906464692e-12,120.0,3.3955627654621976,0.6013560843651814
1.7588737600533746,3.4679612286127695,0.0,0.0,2.0943951023931953,0.2600328773252894,0.8402714181803073,1.0617854665273978,0.5493166887892287,0.13690487823045955,0.22799914540093935,0.8529554513023077,1.748007033547086,True,1.7602987250659276e-12,120.0,3.4453514729866486,0.6178229929337705
1.779824046319078,3.6372036331024047,0.0,0.0,2.0943951023931953,0.24236596000910848,0.843401637598605,1.0831994412743113,0.5499473526880583,0.1353895902469548,0.20958434436597018,0.8555111412922081,1.7685363842093245,True,1.709436677219926e-13,120.0,3.4946736669964436,0.634201011785292
1.8007743325847811,3.8227846561807315,0.0,0.0,2.0943951023931953,0.22428943673027113,0.8463288852835094,1.1054434671736892,0.5499946419001689,0.13362431762020346,0.19076147922186476,0.8577913124339391,1.7890624266940616,True,2.7094922523287567e-12,120.0,3.5433193066169086,0.6503816540914726
1.8217246188504845,4.027493085210877,0.0,0.0,2.0943951023931953,0.2057558956301612,0.8490529664145167,1.1286206353657509,0.5493840885724254,0.13158311084968158,0.17148687229551535,0.8597851352884948,1.8095878347878578,True,5.973809344592885e-12,120.0,3.591024100517965,0.6662249572213119
1.842674905116188,4.25484578825168,0.0,0.0,2.0943951023931953,0.18670685309564977,0.8515737543787745,1.1528554758841918,0.5480255538103789,0.12923514945425166,0.1517070584594629,0.8614793802296824,1.8301161791488223,True,1.0066864674642426e-11,120.0,3.6374538458562347,0.6815486515009411
1.863625191381891,4.50935725498796,0.0,0.0,2.0943951023931953,0.16706920703560346,0.8538911921401089,1.17830066601543,0.5458082714826619,0.126543322845612,0.13135575424383664,0.8628576113727907,1.850652260343704,True,1.509954624718349e-11,120.0,3.6821832982158345,0.6961126678357292
1.8845754776475945,4.7969441811594855,0.0,0.0,2.0943951023931953,0.14675011485845746,0.8560052939278198,1.2051466775200987,0.5425936970164581,0.12346222280316334,0.11034951396156506,0.8638990191583795,1.8712025973397202,True,2.123263023824216e-11,120.0,3.7246672920818304,0.7095964298849362
1.9055257639132979,5.125554253687441,0.0,0.0,2.0943951023931953,0.12562935836151834,0.8579161473674085,1.2336360945151328,0.5382048542178423,0.1199352159556185,0.08858130693406907,0.8645766753384151,1.8917761646885933,True,2.8684599197682693e-11,120.0,3.764200774963374,0.7215645930951656
1.926476050179001,5.506184781264719,0.0,0.0,2.0943951023931953,0.10354752407153954,0.8596239162344559,1.264085677338507,0.5324098493449072,0.11589001704772485,0.06591066128479905,0.8648548242194659,1.912385543731139,True,3.781397383724528e-11,120.0,3.799862943285682,0.7314135281646917
1.9474263364447044,5.954618193327342,0.0,0.0,2.0943951023931953,0.080286845682219,0.8611288441144823,1.2969219511961456,0.5248951521494556,0.11123169387398171,0.0421478405840412,0.8646844802478943,1.933048797219583,True,4.9222239190803625e-11,120.0,3.830438954208848,0.7382841114991651
1.9683766227104078,6.49457011123888,0.0,0.0,2.0943951023931953,0.055538329031113734,0.862431259427867,1.3327419595980017,0.5152197341152326,0.10583099225248073,0.0170269758375328,0.8639958521562143,1.9537926859657149,True,6.397767388151471e-11,120.0,3.854312228149574,0.7409119055992041
