theta0_ref,alpha,beta,beta_for_prb,beta_sign,kappa,phi,Qx_ref,Qy_ref,theta1,theta2,theta3,Qx_prb,Qy_prb,theta0_prb,success,residual_norm,delta_theta_norm,branch_jump_flag,phi_deg,tip_error_percent,slope_error_percent
1.6677625232240842,2.1782575246667375,0.0,0.0,1,0.0,2.356194490192345,0.3553254043838414,0.8101305052166867,0.9233894390658752,0.5788664764892054,0.16166878159063242,0.32453764519007433,0.8275884659454049,1.663924697145713,True,1.2379014654364854e-12,0.011855433208897159,False,135.0,3.539302910148913,0.2301182587405878
1.6833074526884624,2.2240379130643113,0.0,0.0,1,0.0,2.356194490192345,0.3444269505002238,0.8127787309578365,0.9347797689732572,0.5824710231329561,0.16199686288148615,0.3130706152378826,0.830109348087879,1.6792476549876993,True,1.3056431406775556e-12,0.011951569321197225,False,135.0,3.582694588145164,0.2411798090882926
1.6988523821528405,2.271413105519719,0.0,0.0,1,0.0,2.356194490192345,0.3334505730254902,0.815306051176091,0.9463069759525506,0.5859824937221878,0.16227497191148493,0.301520159499364,0.8324976835435883,1.6945644415862233,True,1.3754606607310977e-12,0.01205339251310923,False,135.0,3.626435621114214,0.25240218700952527
1.7143973116172186,2.3204754319011256,0.0,0.0,1,0.0,2.356194490192345,0.32239522473221616,0.8177117665534543,0.9579770467265395,0.5893965850561803,0.16250136283403124,0.2898852098847047,0.8347522927744487,1.709874994616751,True,1.4462245303987442e-12,0.01216132494247904,False,135.0,3.6705321130236883,0.2637846530569739
1.7299422410815968,2.371324631623368,0.0,0.0,1,0.0,2.356194490192345,0.31125969018828525,0.8199951625511097,0.969796347603631,0.5927087152896089,0.16267419127848573,0.27816453658738527,0.8368719420967254,1.7251792541717255,True,1.5174289813569397e-12,0.01227582785711904,False,135.0,3.71498974385997,0.2753263546471582
1.745487170545975,2.4240686492498082,0.0,0.0,1,0.0,2.356194490192345,0.3000425694526977,0.8221555062704933,0.9817716585157665,0.5959139989117598,0.1627915060183184,0.2663567333227119,0.8388553366095081,1.740477163445845,True,1.5859944822635842e-12,0.012397406070986121,False,135.0,3.759813677734754,0.2870262918382211
1.761032100010353,2.478824537740534,0.0,0.0,1,0.0,2.356194490192345,0.2887422598139534,0.8241920429249819,0.9939102110667128,0.59900721878107,0.16285123971029541,0.2544602008681112,0.8407011122541019,1.7557686695580783,True,1.6537731061264604e-12,0.012526613081992193,False,135.0,3.805008456862992,0.2988832771556968
1.7765770294747314,2.5357194871031155,0.0,0.0,1,0.0,2.356194490192345,0.27735693527865685,0.8261039918627254,1.0062197311771315,0.6019827947761704,0.16285119857297556,0.24247312866349155,0.8424078268728351,1.7710537245262774,True,1.7182960389663402e-12,0.012664056927111122,False,135.0,3.8505778787100624,0.31089588893801173
1.7921219589391095,2.5948919997505375,0.0,0.0,1,0.0,2.356194490192345,0.265884523459378,0.8278905420722951,1.0187084870308187,0.604834748549027,0.162789050850165,0.23039347417440528,0.8439739501142995,1.7863322864300106,True,1.7746380522197488e-12,0.012810406919179758,False,135.0,3.8965248537562003,0.32306241660730706
1.8076668884034877,2.6564932381399005,0.0,0.0,1,0.0,2.356194490192345,0.2543226794490459,0.8295508470886348,1.031385343147633,0.607556663767916,0.16266231387738,0.21821893967518308,0.845397852002078,1.8016043207929289,True,1.823328484897807e-12,0.01296640141772191,False,135.0,3.9428512403912688,0.33538079661973474
1.8232118178678658,2.7206885756121504,0.0,0.0,1,0.0,2.356194490192345,0.24266875618723374,0.8310840192017749,1.0442598215713546,0.6101416411226218,0.16246833953605666,0.20594694603890856,0.8466777899499749,1.8168698022300331,True,1.860533795958389e-12,0.013132856835140878,False,135.0,3.989557653070145,0.34784853716279945
1.838756747332244,2.787659387957409,0.0,0.0,1,0.0,2.356194490192345,0.2309197707274888,0.8324891228508614,1.0573421713501994,0.6125822472202069,0.16220429783960413,0.19357460304479984,0.8478118939635275,1.8321287164100104,True,1.8825194744971627e-12,0.01331067811484735,False,135.0,4.036643238904461,0.36046262953758196
1.854301676796622,2.8576051315285884,0.0,0.0,1,0.0,2.356194490192345,0.21907236569282976,0.8337651670625139,1.070643447728644,0.6148704563237712,0.1618671583455715,0.1810986756124784,0.8487981497152256,1.8473810623979867,True,1.8846746282427368e-12,0.013500870980638211,False,135.0,4.08410541704705,0.3732194434829487
