endpoint_margin,beta_sign,theta0_ref,alpha,beta,beta_for_prb,kappa,phi,Qx_ref,Qy_ref,theta1,theta2,theta3,Qx_prb,Qy_prb,theta0_prb,success,residual_norm,tip_error_percent,slope_error_percent,delta_theta_norm,branch_jump_flag
0.02,1,1.1856992523558954,0.25839574812532534,1.016652837748118,1.016652837748118,1.0,1.5707963267948966,0.7634435339648079,0.553352579526565,0.38718404142735663,0.3985044163957087,0.4051937733101076,0.7624782918174277,0.5543831245508546,1.190882231133173,True,2.220446049250313e-16,0.14119898902496497,0.4371242342423259,0.01204992159439123,False
0.02,1,1.2065153104336792,0.26755461837306077,1.034513641037296,1.034513641037296,1.0,1.5707963267948966,0.755562699676593,0.5607851030820955,0.39452178648094294,0.4053079029996786,0.41190651299224745,0.7545538844379749,0.5618574596287224,1.211736202472869,True,2.220446049250313e-16,0.14722964201415054,0.4327248891117024,0.012049514782015226,False
0.02,1,1.227331368511463,0.2769291093476581,1.0524810864764422,1.0524810864764422,1.0,1.5707963267948966,0.747587286474964,0.5680941379856601,0.4018714947897687,0.41209448691399453,0.4186226167545568,0.7465334414991037,0.5692085283273625,1.23258859845832,True,2.220446049250313e-16,0.15337715171515554,0.4283464174172498,0.012049148650298066,False
0.02,1,1.248147426589247,0.28652534041309186,1.0705612367596575,1.0705612367596575,1.0,1.5707963267948966,0.7395197274806649,0.5752781146472549,0.4092330151720876,0.4188634679463458,0.425342971491293,0.7384193558009882,0.5764347177519769,1.2534394546097265,True,0.0,0.15964174188748523,0.4239906206385282,0.012048827924043118,False
0.02,1,1.2689634846670308,0.2963497249924947,1.0887602582616518,1.0887602582616518,1.0,1.5707963267948966,0.7313624909618359,0.5823355205448606,0.41660620569490076,0.42561412721202785,0.4320684757291677,0.7302140549259996,0.583534469268518,1.2742888086360964,True,2.220446049250313e-16,0.1660235938162814,0.4196593545371351,0.012048557849830423,False
0.02,1,1.2897795427448147,0.3064089825894456,1.1070844278363698,1.1070844278363698,1.0,1.5707963267948966,0.7231180793328076,0.5892649009736667,0.42399093359908213,0.4323457262825594,0.4388000406566633,0.7219200003138821,0.5905062791082393,1.2951367005383048,True,3.1401849173675503e-16,0.17252283931654552,0.41535453276684753,0.012048344228078201,False
0.02,1,1.3105956008225985,0.3167101516423987,1.1255401399193166,1.1255401399193166,1.0,1.5707963267948966,0.7147890281507482,0.5960648597921568,0.431387075246436,0.4390575062924135,0.44553859118349964,0.7135396863351557,0.5973486989691049,1.3159831727223492,True,2.220446049250313e-16,0.1791395546621274,0.41107813091766643,0.012048193448443887,False
0.02,1,1.3314116589003824,0.3272606032657934,1.1441339139555184,1.1441339139555184,1.0,1.5707963267948966,0.706377905110589,0.6027340601657704,0.43879451608948966,0.4457486870012753,0.4522850670327427,0.7050756393627678,0.6040603366142498,1.3368282701235077,True,3.1401849173675503e-16,0.18587375542930853,0.4068321909993571,0.012048112528790685,False
0.02,1,1.3522277169781662,0.3380680559361045,1.16287240217679,1.16287240217679,1.0,1.5707963267948966,0.6978873090386677,0.6092712253089114,0.44621315066492184,0.45241846580902306,0.4590404238681894,0.696530416842041,0.6106398564676838,1.3576720403421343,True,3.1401849173675503e-16,0.19272539225616148,0.4026188263715318,0.012048109157967304,False
0.02,1,1.37304377505595,0.3491405911862497,1.1817623977538796,1.1817623977538796,1.0,1.5707963267948966,0.6893198688855501,0.6156751392261737,0.4536428826116358,0.45906601672039543,0.46580563445982265,0.6879066063589944,0.6170859802074515,1.3785145337918538,True,2.220446049250313e-16,0.19969434752690718,0.39844022712828797,0.012048191742683081,False
